Hostname,Datetime,IP,Name,Description,PID,VID,SN
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 1,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105GN
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 2,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265104NM
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 3,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105GT
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 4,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105J7
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 5,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265104ND
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 6,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105F5
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 7,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105FC
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Power Supply 8,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105F6
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Fan 1,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26284JBE
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Fan 2,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26262V8P
AM1RECX001,1/9/2024 11:07:58 PM,10.21.78.33,Fan 3,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26262V9G
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 1,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105ND
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 2,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105NY
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 3,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265104SM
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 4,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105J9
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 5,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105F9
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 6,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265105EZ
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 7,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265104R5
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Power Supply 8,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V03,DTM265104SQ
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Fan 1,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26262V9Q
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Fan 2,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26284JC8
AM1RECX002,1/9/2024 11:06:57 PM,10.21.78.41,Fan 3,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V01,FGE26284JBW
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Power Supply 1,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT2635AAAQ
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Power Supply 2,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT2635AAAY
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Fan 1,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Fan 2,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Fan 3,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AM1REPB001,1/9/2024 11:06:03 PM,10.87.11.97,Fan 4,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Power Supply 1,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,ART2247FAK1
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Power Supply 2,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,ART2247FAQ3
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Fan 1,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Fan 2,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Fan 3,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX004,1/9/2024 11:06:24 PM,10.45.11.104,Fan 4,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Power Supply 1,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,ART2247FAXE
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Power Supply 2,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,ART2247FAJG
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Fan 1,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Fan 2,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Fan 3,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX003,1/9/2024 11:06:28 PM,10.45.11.103,Fan 4,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1RESX002,1/9/2024 11:06:37 PM,10.45.11.12,2,WS-C2960X-48TS-L,WS-C2960X-48TS-L,V03,FCW2009B20Y
AM1RESX002,1/9/2024 11:06:37 PM,10.45.11.12,Switch 2 - FlexStackPlus Module,Stacking Module,C2960X-STACK,V01,FOC200556LR
AM1RESX002,1/9/2024 11:06:37 PM,10.45.11.12,1,WS-C2960X-48TS-L,WS-C2960X-48TS-L,V03,FCW2009B20S
AM1RESX002,1/9/2024 11:06:37 PM,10.45.11.12,Switch 1 - FlexStackPlus Module,Stacking Module,C2960X-STACK,V01,FOC2005575Y
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,c38xx Stack,c38xx Stack,WS-C3850-48U-S,V02,FCW1832C1NP
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Switch 1,WS-C3850-48U-S,WS-C3850-48U-S,V02,FCW1832C1NP
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT22163D7Y
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT18350EHF
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC203319L9
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1834GZ8E
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Te1/1/2,SFP-10GBase-SR,SFP-10G-SR,V03,JUR2005G1YV
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Te1/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,FNS18201FNU
AM1RESX008,1/9/2024 11:06:37 PM,10.45.11.18,Te1/1/4,SFP-10GBase-LR,SFP-10G-LR,V02,CSSLRJC2590
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,c38xx Stack,c38xx Stack,WS-C3850-48U-S,V02,FOC1832U1N9
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Switch 1,WS-C3850-48U-S,WS-C3850-48U-S,V02,FOC1832U1N9
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT18350DRY
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT22163D92
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V02,FOC24110M3Q
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,FNS18301ZCP
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Te1/1/2,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1833G1MT
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Te1/1/3,SFP-10GBase-LR,,,X2003030399
AM1RESX007,1/9/2024 11:06:33 PM,10.45.11.17,Te1/1/4,SFP-10GBase-LR,SFP-10G-LR-S,V01,ACW243518NB
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Power Supply 1,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,LIT2236246L
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Power Supply 2,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V02,LIT2236234E
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Fan 1,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Fan 2,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Fan 3,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REMX001,1/9/2024 11:06:33 PM,10.45.11.101,Fan 4,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,c38xx Stack,c38xx Stack,WS-C3850-48T-E,V07,FOC2201L1UZ
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,Switch 1,WS-C3850-48T-E,WS-C3850-48T-E,V07,FOC2201L1UZ
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2143G8JN
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2143G8J9
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-350WAC,V02,ART2143F4Z5
AM1REDZ002,1/9/2024 11:06:41 PM,10.45.11.15,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-350WAC,V02,ART2143F50T
