Hostname,Datetime,IP,Name,Description,PID,VID,SN
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Power Supply 1,Nexus9000 C93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V03,ART2305F8DF
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Power Supply 2,Nexus9000 C93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V03,ART2305F8CC
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Fan 1,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Fan 2,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Fan 3,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX001,1/9/2024 11:06:07 PM,10.247.11.1,Fan 4,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Power Supply 1,Nexus9000 C93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V03,ART2305F8ED
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Power Supply 2,Nexus9000 C93180YC-EX chassis Power Supply,NXA-PAC-650W-PE,V03,ART2305F8DB
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Fan 1,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Fan 2,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Fan 3,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1RECX002,1/9/2024 11:06:03 PM,10.247.11.2,Fan 4,Nexus9000 C93180YC-EX chassis Fan Module,NXA-FAN-30CFM-F,V01,N/A
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,c38xx Stack,c38xx Stack,WS-C3850-24XS-S,V02,FCW2146D02D
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Switch 1,WS-C3850-24XS-S,WS-C3850-24XS-S,V02,FCW2146D02D
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-715WAC,V02,LIT2147243C
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-715WAC,V02,LIT2147249V
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Switch 1 FRU Uplink Module 1,2x40G Uplink Module,C3850-NM-2-40G,V02,FOC24120G94
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Fo1/1/1,QSFP 40G CR4 SFP,QSFP-H40G-CU5M,V03,JPC235300EK-A
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Fo1/1/2,QSFP 40G CR4 SFP,QSFP-H40G-CU1M,V03,TED2426JJCG-A
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/1,10/100/1000BaseTX SFP,GLC-TE,V01,AVC194724C7
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/2,10/100/1000BaseTX SFP,GLC-T,V03,F1930174965
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/3,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251706HJ
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/4,10/100/1000BaseTX SFP,GLC-TE,V03,MTC2517091V
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/5,10/100/1000BaseTX SFP,GLC-TE,V03,MTC2517091T
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/6,10/100/1000BaseTX SFP,GLC-TE,V03,MTC24110G0A
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/9,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251706GR
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/10,1000BaseLX SFP,GLC-LH-SMD,V01,AML50L3770
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/16,SFP-10GBase-SR,SFP-10G-SR,V02,FNS144900DN
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/23,SFP-10GBase-SR,SFP-10G-SR,V03,FNS20150G2C
AP1REIX002,1/9/2024 11:06:29 PM,10.247.11.12,Te1/0/24,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1947G4XT
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Power Supply 1,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT25182UVN
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Power Supply 2,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT25182ZFS
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Fan 1,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Fan 2,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Fan 3,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX005,1/9/2024 11:06:25 PM,10.247.11.5,Fan 4,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Power Supply 1,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT25182WCT
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Power Supply 2,Nexus9000 C93180YC-FX3 Chassis Power Supply,NXA-PAC-650W-PI,V04,LIT25182WAX
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Fan 1,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Fan 2,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Fan 3,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REMX006,1/9/2024 11:06:30 PM,10.247.11.6,Fan 4,Nexus9000 C93180YC-FX3 Chassis Fan Module,NXA-FAN-35CFM-PI,V01,N/A
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,c38xx Stack,c38xx Stack,WS-C3850-24XS-S,V02,FOC2146X02E
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Switch 1,WS-C3850-24XS-S,WS-C3850-24XS-S,V02,FOC2146X02E
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-715WAC,V02,LIT2147244F
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-715WAC,V02,LIT214724FP
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Switch 1 FRU Uplink Module 1,2x40G Uplink Module,C3850-NM-2-40G,V02,FOC24120GDL
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Fo1/1/1,QSFP 40G CR4 SFP,QSFP-H40G-CU1M,V03,TED2426JJF7-B
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Fo1/1/2,QSFP 40G CR4 SFP,QSFP-H40G-CU5M,V03,JPC235300EX-A
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/1,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251708Y4
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/2,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251706FB
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/3,10/100/1000BaseTX SFP,GLC-TE,V03,MTC2517091S
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/4,10/100/1000BaseTX SFP,GLC-TE,V03,MTC2517090A
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/5,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251709TK
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/6,10/100/1000BaseTX SFP,GLC-TE,V03,MTC24110HBR
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/9,10/100/1000BaseTX SFP,GLC-TE,V03,MTC251709N5
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/23,SFP-10GBase-SR,SFP-10G-SR,V03,AVD1727A2EX
AP1REIX001,1/9/2024 11:06:33 PM,10.247.11.11,Te1/0/24,SFP-10GBase-SR,SFP-10G-SR,V03,AVD2144901F
AP1REDZ001,1/9/2024 11:06:47 PM,10.247.11.191,1,WS-C2960X-48TS-L,WS-C2960X-48TS-L,V03,FCW2009B1QC
AP1REDZ001,1/9/2024 11:06:47 PM,10.247.11.191,Switch 1 - FlexStackPlus Module,Stacking Module,C2960X-STACK,V02,FOC22092LU0
AP1REDZ001,1/9/2024 11:06:47 PM,10.247.11.191,2,WS-C2960X-48TS-L,WS-C2960X-48TS-L,V03,FCW2009B20X
AP1REDZ001,1/9/2024 11:06:47 PM,10.247.11.191,Switch 2 - FlexStackPlus Module,Stacking Module,C2960X-STACK,V02,FOC22092JJV
