Hostname,Datetime,IP,Name,Description,PID,VID,SN
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FGL2530L359
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2526H0DE
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2526H0D9
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V06,FOC25243QBS
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,subslot 0/1 db module 0,PVDM4-128 Voice DSP Module,PVDM4-128,V02,FOC2524025F
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC252402HW
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC25290GTK
ABULOVR001,1/9/2024 11:05:57 PM,10.172.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
ABULOAX102,1/9/2024 11:06:00 PM,10.172.11.102,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2414L9VY
ABULOIX002,1/9/2024 11:05:57 PM,10.172.11.192,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1EC
ABULOAX101,1/9/2024 11:06:05 PM,10.172.11.101,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V01,FCW1911A3WN
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2615002C
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
ABULOWC101,1/9/2024 11:06:22 PM,10.172.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2615002C
