Hostname,Datetime,IP,Name,Description,PID,VID,SN
ASTLOIX002,1/9/2024 11:05:50 PM,10.184.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2535YK9P
ASTLOSX003,1/9/2024 11:06:38 PM,10.184.11.3,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2032Z3EZ
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,c38xx Stack,c38xx Stack,WS-C3850-48F-L,V05,FCW1924C0PD
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Switch 1,WS-C3850-48F-L,WS-C3850-48F-L,V05,FCW1924C0PD
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,DTN2028V42U
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,DTN2028V43S
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Switch 1 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC20357U5W
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Gi1/1/3,10/100/1000BaseTX SFP,,,AGM20324BJ4
ASTLOSX001,1/9/2024 11:06:40 PM,10.184.11.1,Gi1/1/4,10/100/1000BaseTX SFP,,,AGM20324BJT
ASTLOSX002,1/9/2024 11:06:35 PM,10.184.11.2,1,WS-C2960X-24PD-L,WS-C2960X-24PD-L,V05,FCW2039B211
ASTLOSX002,1/9/2024 11:06:35 PM,10.184.11.2,GigabitEthernet1/0/25,10/100/1000BaseTX SFP,,,AGM20324BJK
ASTLOSX002,1/9/2024 11:06:35 PM,10.184.11.2,GigabitEthernet1/0/26,10/100/1000BaseTX SFP,,,AGM20324BJB
ASTLOIX001,1/9/2024 11:06:50 PM,10.184.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2034Z48P
ASTLOFW012-SEC,1/9/2024 11:06:46 PM,10.184.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2604X0F8
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,c38xx Stack,c38xx Stack,WS-C3850-48F-E,V07,FOC2037X0HY
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 1,WS-C3850-48F-E,WS-C3850-48F-E,V04,FOC1737U0ZX
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2033A2MK
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2033A2LH
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT17301018
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,DTN2028V43T
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 1 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC20381UPJ
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Gi1/1/1,10/100/1000BaseTX SFP,,,AGM20324BJH
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Gi1/1/2,10/100/1000BaseTX SFP,,,AGM20324BJ9
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 2,WS-C3850-48F-E,WS-C3850-48F-E,V07,FOC2037X0HY
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2033A2LH
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2033A2MK
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,DTN2028V43Q
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,DTN2028V43V
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Switch 2 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC20381TSV
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Gi2/1/1,10/100/1000BaseTX SFP,GLC-T,V03,AGM1407223R
ASTLOCX001,1/9/2024 11:06:53 PM,10.184.11.250,Gi2/1/2,10/100/1000BaseTX SFP,,,AGM20324BJC
