Hostname,Datetime,IP,Name,Description,PID,VID,SN
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2642008P
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2642008P
BEILOWC101,1/9/2024 11:06:05 PM,10.223.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
BEILOIX002,1/9/2024 11:06:35 PM,10.223.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2046Z2H2
BEILOFW011-PRI,1/9/2024 11:06:56 PM,10.223.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2602X0PG
BEILOIX001,1/9/2024 11:07:03 PM,10.223.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2104Y3LB
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FGL191411AJ
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT22012LJ5
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT1903070Q
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V02,FOC19115TM7
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC19114P87
BEILOVR001,1/9/2024 11:07:21 PM,10.223.51.11,PVDM subslot 0/4,PVDM4-32 Voice DSP Module,PVDM4-32,V02,FOC19111LPF
