Hostname,Datetime,IP,Name,Description,PID,VID,SN
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FJC2023D0A5
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT20070GK2
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT20070GFP
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V03,FOC20314E6C
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC20171ZQE
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,JAB092709EL
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V01,FOC2020793J
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
BOSLOWC001,1/9/2024 11:06:00 PM,10.67.32.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL264500U5
BOSLOWC001,1/9/2024 11:06:00 PM,10.67.32.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
BOSLOWC001,1/9/2024 11:06:00 PM,10.67.32.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
