Hostname,Datetime,IP,Name,Description,PID,VID,SN
CAILOIX002,1/9/2024 11:05:52 PM,10.173.11.192,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1EA
CAILOAX004,1/9/2024 11:05:47 PM,10.173.11.4,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FCW2236A3VD
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2631YGZC
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2634Y2F1
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2630H6TN
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2632G6H4
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2629P2H1
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2629P2C1
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26323UYP
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26350DRU
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2631YGZC
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2632G6H4
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2630H6TN
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2631DC5N
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2631DC59
CAILOSX001,1/9/2024 11:05:46 PM,10.173.11.1,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26323TZ2
