Hostname,Datetime,IP,Name,Description,PID,VID,SN
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V05,FJC2243A1E6
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2239245L
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2239246M
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V05,FOC22385ALC
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC22375YQ2
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC22211P19
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,JAB092709EL
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V05,FOC22381KTH
CHILOVR301,1/9/2024 11:06:02 PM,10.73.51.251,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
CHILOIX002,1/9/2024 11:06:10 PM,10.73.11.192,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V01,FOC1943Y09V
CHILOFW012-SEC,1/9/2024 11:06:32 PM,10.73.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X1Y8
CHILOSX102,1/9/2024 11:06:34 PM,10.73.11.102,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2247T1VU
CHILOSX103,1/9/2024 11:06:33 PM,10.73.11.103,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2247T2FA
CHILOFW011-PRI,1/9/2024 11:06:36 PM,10.73.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X1Y5
CHILOAX107,1/9/2024 11:07:03 PM,10.73.11.107,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2247T1TA
CHILOIX301,1/9/2024 11:07:10 PM,10.73.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2232T0SU
CHILOIX301,1/9/2024 11:07:10 PM,10.73.11.191,GigabitEthernet0/12,1000BaseSX SFP,GLC-SX-MMD,V01,AGJ1939R9DJ
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL264900N0
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL264900N0
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL264900K6
CHILOWC301,1/9/2024 11:07:09 PM,10.73.32.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
