Hostname,Datetime,IP,Name,Description,PID,VID,SN
NYCLOSX119,1/9/2024 11:08:12 PM,10.121.11.119,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2029W02H
NYCLOVR004,1/9/2024 11:07:52 PM,10.121.51.15,VG224 chassis,VG224 chassis,VG224,V04,FHK1328F0T5
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,1760 chassis,"1760 chassis, Hw Serial#: 2690386588, Hw Revision: 0x500",1760,0x500,FOC08362E0M (2690386588)
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Chassis Slot,1700 Chassis Slot,1700 Chassis Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,C1760 Mainboard,C1760 Mainboard,C1760 Mainboard,0x500,FOC08362E0M (2690386588)
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:0,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,WIC/VIC 0,2nd generation four port FXO voice interface daughtercard,2nd generation four port FXO voice interface daughtercard,4.1,1058131097
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/0,Foreign Exchange Office (FXO4-M1/M2/M3) 0/0,Foreign Exchange Office (FXO4-M1/M2/M3) 0/0,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/1,Foreign Exchange Office (FXO4-M1/M2/M3) 0/1,Foreign Exchange Office (FXO4-M1/M2/M3) 0/1,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/2,Foreign Exchange Office (FXO4-M1/M2/M3) 0/2,Foreign Exchange Office (FXO4-M1/M2/M3) 0/2,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/3,Foreign Exchange Office (FXO4-M1/M2/M3) 0/3,Foreign Exchange Office (FXO4-M1/M2/M3) 0/3,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:1,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,WIC/VIC 1,2nd generation four port FXO voice interface daughtercard,2nd generation four port FXO voice interface daughtercard,4.1,1486283825
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 1/0,Foreign Exchange Office (FXO4-M1/M2/M3) 1/0,Foreign Exchange Office (FXO4-M1/M2/M3) 1/0,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 1/1,Foreign Exchange Office (FXO4-M1/M2/M3) 1/1,Foreign Exchange Office (FXO4-M1/M2/M3) 1/1,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 1/2,Foreign Exchange Office (FXO4-M1/M2/M3) 1/2,Foreign Exchange Office (FXO4-M1/M2/M3) 1/2,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 1/3,Foreign Exchange Office (FXO4-M1/M2/M3) 1/3,Foreign Exchange Office (FXO4-M1/M2/M3) 1/3,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:2,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,WIC/VIC 2,2nd generation four port FXO voice interface daughtercard,2nd generation four port FXO voice interface daughtercard,4.1,2008917870
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 2/0,Foreign Exchange Office (FXO4-M1/M2/M3) 2/0,Foreign Exchange Office (FXO4-M1/M2/M3) 2/0,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 2/1,Foreign Exchange Office (FXO4-M1/M2/M3) 2/1,Foreign Exchange Office (FXO4-M1/M2/M3) 2/1,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 2/2,Foreign Exchange Office (FXO4-M1/M2/M3) 2/2,Foreign Exchange Office (FXO4-M1/M2/M3) 2/2,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 2/3,Foreign Exchange Office (FXO4-M1/M2/M3) 2/3,Foreign Exchange Office (FXO4-M1/M2/M3) 2/3,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:3,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Module Slot,Packet Voice DSP Module Slot 0,Packet Voice DSP Module Slot 0,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Module,Packet Voice DSP Module with 3 C549 DSPs,Packet Voice DSP Module with 3 C549 DSPs,3.2,VIC08334A0C
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Port,C549,C549,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Port,C549,C549,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Port,C549,C549,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,DSP Module Slot,Packet Voice DSP Module Slot 1,Packet Voice DSP Module Slot 1,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,FastEthernet0/0,PQUICC_FEC,PQUICC_FEC,", SN:",
NYCLOSX110,1/9/2024 11:08:22 PM,10.121.11.110,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2029W01Y
NYCLOSX136,1/9/2024 11:08:07 PM,10.121.11.136,1,WS-C2960X-24PS-L,WS-C2960X-24PS-L,V04,FCW2030A4BH
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FJC2023D0A5
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT20070GK2
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT20070GFP
BOSLOLR001,1/9/2024 11:08:21 PM,10.67.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
