Hostname,Datetime,IP,Name,Description,PID,VID,SN
DORLOFW012-SEC,1/9/2024 11:06:02 PM,10.170.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2603X4SH
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,CISCO3925-CHASSIS,CISCO3925-CHASSIS,CISCO3925-CHASSIS,V02,FGL161510V2
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,Cisco Services Performance Engine 200 for Cisco 3900 ISR on Slot 0,Cisco Services Performance Engine 200 for Cisco 3900 ISR,C3900-SPE200/K9,V04,FOC16090N62
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,VWIC3-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1 on Slot 0 SubSlot 0,VWIC3-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1,VWIC3-1MFT-T1/E1,V01,FOC16066GQC
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 3,PVDM3 DSP DIMM with 64 Channels,PVDM3-64,V01,FOC1610665B
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,C3900 AC Power Supply 1,C3900 AC Power Supply 1,PWR-3900-AC,V03,QCS1604P36P
DORLOVR002,1/9/2024 11:06:22 PM,10.170.51.252,C3900 AC Power Supply 2,C3900 AC Power Supply 2,PWR-3900-AC,V03,QCS1604P3VK
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617YKJP
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617YKJP
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2609A7WQ
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2610A1KH
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DHD6
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DHC7
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2617YLM8
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2610A1KH
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2609A7WQ
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628D030
DORLOSX1501,1/9/2024 11:06:47 PM,10.170.11.1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DH9J
DORLOIX001,1/9/2024 11:06:50 PM,10.170.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W200
DORLOVR003,1/9/2024 11:07:00 PM,10.170.51.251,VG310,"VG310 chassis, Hw Serial#: FCZ2530R1RQ, Hw Revision: 1.0",VG310,V01,FCZ2530R1RQ
DORLOVR003,1/9/2024 11:07:00 PM,10.170.51.251,onboard 24 FXS voice interface on Slot 0 SubSlot 0,onboard 24 FXS voice interface,VG310,V01,FOC25253N1V
DORLOVR003,1/9/2024 11:07:00 PM,10.170.51.251,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 4,PVDM3 DSP DIMM with 64 Channels,PVDM3-64,V01,FOC25231HK5
DORLOVR003,1/9/2024 11:07:00 PM,10.170.51.251,VG3X0 AC Power Supply,VG3X0 AC Power Supply,PWR-VG3X0-AC,", SN:",
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL262601LQ
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL262601LQ
DORLOWC001,1/9/2024 11:07:10 PM,10.170.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FCZ2631R5V8
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2551ASQL
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2551ASUY
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V06,FOC26026QAU
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC254845MQ
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC26273XB0
DORLOVR001,1/9/2024 11:07:09 PM,10.170.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
DORLOFW011-PRI,1/9/2024 11:07:11 PM,10.170.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2545X0SL
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617YLAM
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617YLAM
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2609A7WD
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2610A1JU
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DHFG
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DHFB
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2617YLKB
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2610A1JU
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2609A7WD
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DHCN
DORLOCX001,1/9/2024 11:07:10 PM,10.170.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DHCV
