Hostname,Datetime,IP,Name,Description,PID,VID,SN
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL262601RV
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL262601RV
DRELOWC001,1/9/2024 11:05:53 PM,10.137.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
DRELOIX002,1/9/2024 11:05:50 PM,10.137.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W232
DRELOIX001,1/9/2024 11:06:41 PM,10.137.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W20J
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2543Y4YW
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2543Y4YW
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2544G987
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2544G7N6
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2442D2TF
DRELOCX001,1/9/2024 11:06:51 PM,10.137.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2530D9FT
