Hostname,Datetime,IP,Name,Description,PID,VID,SN
DUBLOAX0809,1/9/2024 11:05:47 PM,10.153.11.9,1,WS-C3560CX-8PC-S,WS-C3560CX-8PC-S,V03,FOC2325Y28H
DUBLOAX0809,1/9/2024 11:05:47 PM,10.153.11.9,GigabitEthernet0/11,1000BaseBX10-U SFP,GLC-BX-U,V03,ACW232517KH
DUBLOFW101-PRI,1/9/2024 11:05:48 PM,10.153.252.1,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2644X00U
DUBLOAX0810,1/9/2024 11:05:48 PM,10.153.11.10,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2234Y3BU
DUBLOAX0901_TEMP,1/9/2024 11:05:57 PM,10.153.11.1,c38xx Stack,c38xx Stack,WS-C3850-48F-S,V06,FOC1946U0S5
DUBLOAX0901_TEMP,1/9/2024 11:05:57 PM,10.153.11.1,Switch 1,WS-C3850-48F-S,WS-C3850-48F-S,V06,FOC1946U0S5
DUBLOAX0901_TEMP,1/9/2024 11:05:57 PM,10.153.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT1936006S
DUBLOAX0808,1/9/2024 11:05:50 PM,10.153.11.8,1,WS-C3560CX-8PC-S,WS-C3560CX-8PC-S,V03,FOC2116Z4RM
DUBLOAX0808,1/9/2024 11:05:50 PM,10.153.11.8,GigabitEthernet0/11,1000BaseBX10-U SFP,GLC-BX-U,V03,ACW232517KG
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2629YELK
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2629YELK
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2618G2D3
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2618G2CM
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DGPR
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DJGU
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26231EHC
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26330BBB
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26330BC0
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2616YAVG
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2618G2CM
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2618G2D3
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DFM7
DUBLOAX0804,1/9/2024 11:05:50 PM,10.153.11.4,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DCJ5
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2616Z3SJ
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2616Z3SJ
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2618G2E1
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2618G2DH
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DFCB
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DH37
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26231ESH
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261003JY
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261003RK
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2629YD7M
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2618G2DH
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2618G2E1
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DGZN
DUBLOAX0805,1/9/2024 11:05:50 PM,10.153.11.5,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DFHG
DUBLOIX002,1/9/2024 11:06:01 PM,10.153.11.192,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2630YGYG
DUBLOAX0806,1/9/2024 11:05:51 PM,10.153.11.6,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1D2
DUBLOAX0807,1/9/2024 11:05:49 PM,10.153.11.7,1,WS-C3560CX-8PC-S,WS-C3560CX-8PC-S,V01,FOC1925Z35F
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2543YFEU
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2543YFEU
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2303G0AF
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2205A122
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2535D03K
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2535D6NJ
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26231DRF
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263304NR
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26330BBX
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,usbflash1,usbflash1-1,SSD-240G,3.10,STP25150UAF
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 2,C9300-48UXM,C9300-48UXM,V05,FOC2543YL81
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2205A122
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2303G0AF
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2535D6PY
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2535D4VK
DUBLOAX0803,1/9/2024 11:06:33 PM,10.153.11.3,usbflash1-2,usbflash1-2,SSD-240G,3.10,STP25150U87
DUBLOIX001,1/9/2024 11:06:42 PM,10.153.11.191,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2630YH4R
DUBLOVR003,1/9/2024 11:07:06 PM,10.153.51.12,VG204XM Chassis,VG204XM Chassis,VG204XM,V01,FOL2532Z0CE
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2629YEYM
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2629YEYM
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2618G2C6
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,StackPort1/2,StackPort1/2,STACK-T1-3M,V01,LCC1752G0F5
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628DG1N
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628DJF0
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26240T5J
DUBLOCX001,1/9/2024 11:07:13 PM,10.153.11.250,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263304PT
