Hostname,Datetime,IP,Name,Description,PID,VID,SN
DUSLOSX004,1/9/2024 11:06:00 PM,10.143.11.4,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2217T04J
DUSLOIX002,1/9/2024 11:05:53 PM,10.143.11.192,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2251Y0KC
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,c38xx Stack,c38xx Stack,WS-C3850-48F-L,V04,FOC1921U0GY
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Switch 1,WS-C3850-48F-L,WS-C3850-48F-L,V04,FOC1921U0GY
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT19140W3U
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT19140WAR
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Switch 1 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC19224HHV
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Gi1/1/1,1000BaseSX SFP,,,FNS0947J12C
DUSLOSX003,1/9/2024 11:06:30 PM,10.143.11.3,Gi1/1/2,1000BaseSX SFP,,,FNS0946Q6AH
DUSLOFWCL1-sec,1/9/2024 11:06:51 PM,10.143.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,FCZ2545R5BU
DUSLOCX001,1/9/2024 11:06:47 PM,10.143.11.250,c38xx Stack,c38xx Stack,WS-C3850-48F-E,V04,FCW1921D0D1
DUSLOCX001,1/9/2024 11:06:47 PM,10.143.11.250,Switch 1,WS-C3850-48F-E,WS-C3850-48F-E,V04,FCW1921D0D1
DUSLOCX001,1/9/2024 11:06:47 PM,10.143.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC1921A1PF
