Hostname,Datetime,IP,Name,Description,PID,VID,SN
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 1,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265104VN
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 2,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265105GB
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 3,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265105HE
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 4,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265104RV
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 5,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265105GJ
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 6,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265104B1
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 7,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265105GY
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Power Supply 8,Nexus9000 C9508 (8 Slot) Chassis Power Supply,N9K-PAC-3000W-B,V00,DTM265105NZ
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Fan 1,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V00,FGE26295ZGX
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Fan 2,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V00,FGE26284JD1
EM1RECX002,1/9/2024 11:05:56 PM,10.187.6.252,Fan 3,Nexus9000 C9508 (8 Slot) Chassis Fan Module,N9K-C9508-FAN2,V00,FGE26284JBP
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Power Supply 1,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PI,V03,ART2308F1XR
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Power Supply 2,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PI,V03,ART2308F1V2
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Fan 1,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-B,V01,N/A
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Fan 2,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-B,V01,N/A
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Fan 3,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-B,V01,N/A
EM1REMX001,1/9/2024 11:06:00 PM,10.187.11.101,Fan 4,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-B,V01,N/A
EM1REMX004,1/9/2024 11:06:01 PM,10.187.11.104,Power Supply 1,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PI,V03,ART2308F1Q3
EM1REMX004,1/9/2024 11:06:01 PM,10.187.11.104,Power Supply 2,Nexus9000 93180YC-EX chassis Power Supply,NXA-PAC-650W-PI,V03,ART2308F1SW
EM1REMX004,1/9/2024 11:06:01 PM,10.187.11.104,Fan 1,Nexus9000 93180YC-EX chassis Fan Module,NXA-FAN-30CFM-B,V01,N/A
