Hostname,Datetime,IP,Name,Description,PID,VID,SN
FLELOCX001,1/9/2024 11:06:01 PM,10.138.11.250,c38xx Stack,c38xx Stack,WS-C3850-48F-E,V05,FCW1935C1VA
FLELOCX001,1/9/2024 11:06:01 PM,10.138.11.250,Switch 1,WS-C3850-48F-E,WS-C3850-48F-E,V05,FCW1935C1VA
FLELOCX001,1/9/2024 11:06:01 PM,10.138.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT194410UV
FLELOCX001,1/9/2024 11:06:01 PM,10.138.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT194410H3
FLELOVR003,1/9/2024 11:06:41 PM,10.138.51.251,VG204 Chassis,VG204 Chassis,VG204,V01,FCH1614R06R
FLELOIX001,1/9/2024 11:06:47 PM,10.138.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W31K
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FTX1924AHGX
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2529AAWK
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT18521G0W
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,NIM subslot 0/1,NIM-4BRI-NT/TE Voice Analog Module,NIM-4BRI-NT/TE,V03,FOC22235ACE
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V01,FTA17500040
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,JAB092709EL
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V01,FOC1921560L
FLELOVR001,1/9/2024 11:07:06 PM,10.138.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
FLELOFW011,1/9/2024 11:07:11 PM,10.138.252.1,module 0,"Firepower 1010 Appliance, Desktop, 8 GE, 1 MGMT",FPR-1010,V01,JMX2538X14H
