Hostname,Datetime,IP,Name,Description,PID,VID,SN
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YFP1
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YFP1
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2532A3T7
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2532A5L8
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2527DXSM
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2527DXTA
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC25253RS5
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261004H9
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 2,C9300-48UXM,C9300-48UXM,V05,FOC2542YFYJ
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2532A5L8
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2532A3T7
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2527DXT4
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2527DXT8
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC252510ZH
FRALOSX0308,1/9/2024 11:05:50 PM,10.130.11.8,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V01,FNS22380YZ5
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26160014
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL26160014
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26420063
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
FRALOWC001,1/9/2024 11:05:53 PM,10.130.31.250,Chassis 2 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,", SN:",
FRALOVR007,1/9/2024 11:06:00 PM,10.130.51.7,VG204 Chassis,VG204 Chassis,VG204,V01,FCH1731S04W
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,c38xx Stack,c38xx Stack,WS-C3850-48F-L,V05,FOC1930X192
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 1,WS-C3850-48F-L,WS-C3850-48F-L,V05,FOC1930X192
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC1930A08R
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC1930A084
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,DTN1922V0TX
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,DTN1922V0TS
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC19312NKK
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Te1/1/2,SFP-10GBase-LRM,SFP-10G-LRM,V03,FNS204606DL
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 2,WS-C3850-48P-L,WS-C3850-48P-L,V02,FOC1747Y2TT
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC1930A08R
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC1930A084
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-715WAC,V01,DCB1745G2H8
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,LIT20020DQD
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Switch 2 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC18383VCJ
FRALOAX101,1/9/2024 11:05:47 PM,10.130.11.101,Te2/1/2,SFP-10GBase-LRM,SFP-10G-LRM,V03,FNS20460961
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617Z5BM
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617Z5BM
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2615A308
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2615A2XF
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2532DAW2
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2532DAW4
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC252511FU
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261003LM
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,usbflash1,usbflash1-1,SSD-240G,3.10,STP261601M7
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2617Z398
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2615A2XF
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2453A1GV
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2532DADD
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2532DADE
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC25253REM
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS261001PL
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 3,C9300-48UXM,C9300-48UXM,V08,FOC2617Z40B
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,MOC2453A1GV
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,MOC2615A308
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2532DADC
FRALOSX0403,1/9/2024 11:05:44 PM,10.130.11.3,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2532DADB
