Hostname,Datetime,IP,Name,Description,PID,VID,SN
GENLOIX002,1/9/2024 11:05:52 PM,10.134.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2703Y260
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V05,FGL232730HR
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2320H1TK
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2320H1R0
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC232352J5
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V05,FOC232243EW
GENLOVR002,1/9/2024 11:06:04 PM,10.134.51.12,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
GENLOSX0302,1/9/2024 11:06:04 PM,10.134.11.2,1,WS-C3560CX-8XPD-S,WS-C3560CX-8XPD-S,V03,FOC2711YMT2
GENLOSX0302,1/9/2024 11:06:04 PM,10.134.11.2,TenGigabitEthernet1/0/1,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW262412MV
GENLOSX0302,1/9/2024 11:06:04 PM,10.134.11.2,TenGigabitEthernet1/0/2,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW2623042V
GENLOFW012-SEC,1/9/2024 11:06:14 PM,10.134.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2545X0SP
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2713YG55
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2713YG55
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2711GQEW
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2711GQEU
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712C4DU
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712C55Q
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH27111DRG
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263202JP
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2634YCUD
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2711GQEU
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2711GQEW
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2644D205
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2644D1ZY
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC270321EJ
GENLOSX0301,1/9/2024 11:06:22 PM,10.134.11.1,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263202K9
GENLOVR003,1/9/2024 11:06:26 PM,10.134.51.251,VG204 Chassis,VG204 Chassis,VG204,V01,FCH1730R06M
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2713YG5B
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2713YG5B
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2711GQEP
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort1/2,StackPort1/2,STACK-T1-3M,V01,LCC2617G5RV
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712C7D6
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712C4L5
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH271101GW
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263202LX
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Twe1/1/2,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW262412N0
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2713YF00
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort2/1,StackPort2/1,STACK-T1-3M,V01,LCC2617G5RW
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2711GQEP
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712C7AT
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712C4GW
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FVH271304TY
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS263202PN
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Twe2/1/2,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW262403X0
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 3,C9300-48UXM,C9300-48UXM,V03,FOC2637YEKG
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort3/1,StackPort3/1,STACK-T1-3M,V01,LCC2617G5RV
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,StackPort3/2,StackPort3/2,STACK-T1-3M,V01,LCC2617G5RW
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2644D203
GENLOCX001,1/9/2024 11:06:36 PM,10.134.11.250,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2644D207
GENLOIX001,1/9/2024 11:06:44 PM,10.134.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2703Y27X
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FCZ2604R6FA
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2534CAAM
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC25401FNB
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC26021XW7
GENLOVR001,1/9/2024 11:06:57 PM,10.134.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
GENLOFW011-PRI,1/9/2024 11:07:11 PM,10.134.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2545X0SQ
