Hostname,Datetime,IP,Name,Description,PID,VID,SN
HELLOSX008,1/9/2024 11:06:09 PM,10.176.11.8,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2203T5LV
HELLOIX002,1/9/2024 11:06:10 PM,10.176.11.192,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2611Y9GU
HELLOFW012-SEC,1/9/2024 11:06:26 PM,10.176.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2545X0SH
HELLOIX001,1/9/2024 11:06:31 PM,10.176.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W1YE
HELLOFW011-PRI,1/9/2024 11:06:26 PM,10.176.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2545X0SN
HELLOSX006,1/9/2024 11:06:32 PM,10.176.11.6,1,WS-C2960X-24PS-L,WS-C2960X-24PS-L,V05,FOC2132S2U8
HELLOSX005,1/9/2024 11:06:29 PM,10.176.11.5,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FCW2147A5V4
HELLOSX007,1/9/2024 11:06:27 PM,10.176.11.7,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2129Y4K4
HELLOSX004,1/9/2024 11:06:30 PM,10.176.11.4,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2144T0AV
HELLOSX003,1/9/2024 11:06:30 PM,10.176.11.3,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2129Y41F
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FOC2137U0M4
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FOC2137U0M4
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2137G542
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2137G2MP
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2136V2DP
HELLOSX001,1/9/2024 11:06:34 PM,10.176.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2136V2C6
