Hostname,Datetime,IP,Name,Description,PID,VID,SN
HONLOFW012-SEC,1/9/2024 11:06:14 PM,10.204.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2543X0WS
HONLOIX101,1/9/2024 11:06:17 PM,10.204.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2602Y7RR
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FGL2542LJHJ
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2529A6KN
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2529A6PE
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,PVDM subslot 0/4,PVDM4-128 Voice DSP Module,PVDM4-128,V02,FOC254164D0
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC2541636T
HONLOVR101,1/9/2024 11:06:19 PM,10.204.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2543YK9H
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2543YFT8
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2535A0XZ
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,StackPort1/2,StackPort1/2,STACK-T1-1M,V01,LCC2531GRA0
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2527D5QA
HONLOCX101,1/9/2024 11:06:22 PM,10.204.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2530D2BM
