Hostname,Datetime,IP,Name,Description,PID,VID,SN
HOULOIX002,1/9/2024 11:06:06 PM,10.70.11.192,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2143T4VE
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FJC2649218L
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 1,C9300-48UXM,C9300-48UXM,V08,FJC2649218L
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2327A6N5
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2646D9N2
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2646D9H9
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V01,FOC22311CNG
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD222390NG
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 2,C9300-48UXM,C9300-48UXM,V08,FJC264921AG
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2327A6N5
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2646D9H8
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2646D9HN
HOULOAX3104,1/9/2024 11:06:04 PM,10.70.11.4,Switch 2 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V02,FOC232737JD
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V02,FJC2331T0JS
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V02,FJC2331T0JS
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2231G3N1
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2330P0TN
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2224V278
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FJZ264213X2
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26080122
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 2,C9300-48UXM,C9300-48UXM,V02,FCW2234L0P5
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2231G3N1
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2327A6N6
HOULOSX3103,1/9/2024 11:06:05 PM,10.70.11.3,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2330P0SV
