Hostname,Datetime,IP,Name,Description,PID,VID,SN
ISTLOAX001,1/9/2024 11:06:15 PM,10.159.11.101,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2229T2A9
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FCW2312C1DJ
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2310GH4G
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2232GNGR
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2234GQGE
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2247V41B
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2247V40L
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC230849GN
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Te1/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,AVD22529MEA
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 2,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2312C1DJ
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2234GQGE
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2232GNGR
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2247V40H
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2247V40K
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Switch 2 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC23084ALQ
ISTLOSX003,1/9/2024 11:06:17 PM,10.159.11.3,Te2/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,AVD22529MFB
ISTLOSX002,1/9/2024 11:06:14 PM,10.159.11.2,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FOC2312U1MZ
ISTLOSX002,1/9/2024 11:06:14 PM,10.159.11.2,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FOC2312U1MZ
ISTLOSX002,1/9/2024 11:06:14 PM,10.159.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2234GQFP
