Hostname,Datetime,IP,Name,Description,PID,VID,SN
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2547000X
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2547000X
JAKLOWC101,1/9/2024 11:05:59 PM,10.220.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
JAKLOIX002,1/9/2024 11:06:19 PM,10.220.11.192,1,C1000-8T-2G-L,C1000-8T-2G-L,V01,PSZ25431PA9
JAKLOAX002,1/9/2024 11:06:50 PM,10.220.11.102,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2246Y3ZK
JAKLOFW012-SEC,1/9/2024 11:06:53 PM,10.220.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2602X1H4
JAKLOAX001,1/9/2024 11:06:54 PM,10.220.11.101,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2245T658
JAKLOIX001,1/9/2024 11:06:56 PM,10.220.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2034Z46Z
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2543YJR3
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2543YJR3
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2537GKV6
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2537GKUN
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2535P4FZ
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2535P4FM
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 2,C9300-48UXM,C9300-48UXM,V05,FOC2543YJW9
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2537GKUN
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2537GKV6
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2535P4GZ
JAKLOCX101,1/9/2024 11:07:01 PM,10.220.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2535P4G7
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,CISCO3925-CHASSIS,CISCO3925-CHASSIS,CISCO3925-CHASSIS,V02,FGL1732118L
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,Cisco Services Performance Engine 200 for Cisco 3900 ISR on Slot 0,Cisco Services Performance Engine 200 for Cisco 3900 ISR,C3900-SPE200/K9,V04,FOC17216XN3
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,VWIC3-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1 on Slot 0 SubSlot 0,VWIC3-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1,VWIC3-1MFT-T1/E1,V01,FOC173138DM
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 3,PVDM3 DSP DIMM with 64 Channels,PVDM3-64,V01,FOC17302S31
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,C3900 AC Power Supply 1,C3900 AC Power Supply 1,PWR-3900-AC,V04,PST1727C166
JAKLOVR001,1/9/2024 11:07:16 PM,10.220.51.11,C3900 AC Power Supply 2,C3900 AC Power Supply 2,PWR-3900-AC,V04,PST1727C192
JAKLOFW011-PRI,1/9/2024 11:07:15 PM,10.220.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2602X1H2
JAKLOVR003,1/9/2024 11:07:42 PM,10.220.51.13,VG204XM Chassis,VG204XM Chassis,VG204XM,V01,FCH1724R0AE
