Hostname,Datetime,IP,Name,Description,PID,VID,SN
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FCZ2651R09A
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2642H0WT
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2642H0WL
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC26174JDS
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC26364UXR
JOHLOVR002,1/9/2024 11:05:56 PM,10.168.51.252,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
JOHLOIX002,1/9/2024 11:05:52 PM,10.168.11.192,1,WS-C2960X-24PS-L,WS-C2960X-24PS-L,V05,FOC2223V0B3
JOHLOAX101,1/9/2024 11:05:56 PM,10.168.11.101,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2517L7TZ
JOHLOVR001,1/9/2024 11:06:06 PM,10.168.51.251,CISCO3925-CHASSIS,CISCO3925-CHASSIS,CISCO3925-CHASSIS,V02,FTX1440AK1H
JOHLOVR001,1/9/2024 11:06:06 PM,10.168.51.251,Cisco Services Performance Engine 200 for Cisco 3900 ISR on Slot 0,Cisco Services Performance Engine 200 for Cisco 3900 ISR,C3900-SPE200/K9,V01,FOC14365TH6
JOHLOVR001,1/9/2024 11:06:06 PM,10.168.51.251,VWIC2-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1 on Slot 0 SubSlot 0,VWIC2-1MFT-T1/E1 - 1-Port RJ-48 Multiflex Trunk - T1/E1,VWIC2-1MFT-T1/E1,V01,FOC09473786
JOHLOVR001,1/9/2024 11:06:06 PM,10.168.51.251,2nd generation two port BRI voice interface daughtercard on Slot 0 SubSlot 1,2nd generation two port BRI voice interface daughtercard,VIC2-2BRI-NT/TE,V02,FOC150350U0
