Hostname,Datetime,IP,Name,Description,PID,VID,SN
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,c38xx Stack,c38xx Stack,WS-C3850-48P-L,V02,FOC1747U0KL
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 1,WS-C3850-48P-L,WS-C3850-48P-L,V02,FOC1747U0KL
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2316A6F8
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2314A17Z
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-715WAC,V01,DCB1745G2LE
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-715WAC,V01,LIT17320CSN
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC174797EK
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Te1/1/1,SFP-10GBase-LRM,SFP-10G-LRM,V03,AGD1752V0HT
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Te1/1/2,SFP-10GBase-LRM,SFP-10G-LRM,V03,OPM20092590
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 2,WS-C3850-48P-L,WS-C3850-48P-L,V02,FOC1747X0JD
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2314A17Z
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2316A6F8
LONLOSX102,1/9/2024 11:05:57 PM,10.145.11.2,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-715WAC,V01,LIT17320CS5
