Hostname,Datetime,IP,Name,Description,PID,VID,SN
LOSLOAX2705,1/9/2024 11:08:23 PM,10.62.11.5,1,WS-C3560CX-12TC-S,WS-C3560CX-12TC-S,V01,FOC1922W08G
LOSLOIX002,1/9/2024 11:06:06 PM,10.62.11.192,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2050Y03M
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL26520164
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL26520164
LOSLOWC101,1/9/2024 11:06:06 PM,10.62.32.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
LOSLOAX2707,1/9/2024 11:06:19 PM,10.62.11.7,1,WS-C3560CX-12TC-S,WS-C3560CX-12TC-S,V01,FOC1921Y4MX
LOSLOAX103,1/9/2024 11:06:29 PM,10.62.11.103,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2329Y3V6
LOSLOAX112,1/9/2024 11:06:32 PM,10.62.11.112,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FJC2330W12Q
LOSLOAX127,1/9/2024 11:06:33 PM,10.62.11.127,1,WS-C3560CX-12TC-S,WS-C3560CX-12TC-S,V01,FOC1914Z12K
LOSLOAX109,1/9/2024 11:06:25 PM,10.62.11.109,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2329Y475
LOSLOAX105,1/9/2024 11:06:31 PM,10.62.11.105,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2329Y47C
LOSLOFW011-PRI,1/9/2024 11:06:27 PM,10.62.252.1,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2537X0ZZ
LOSLOFW012-SEC,1/9/2024 11:06:22 PM,10.62.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2537X100
LOSLOAX108,1/9/2024 11:06:41 PM,10.62.11.108,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2329Y46Z
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Chassis,Cisco Catalyst 9500 Series Chassis,C9500-24Y4C,V01,CAT2342L0CL
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Power Supply Module 0,Cisco Catalyst 9500 Series 650W AC Power Supply,C9K-PWR-650WAC-R,V01,DCI234120WW
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Power Supply Module 1,Cisco Catalyst 9500 Series 650W AC Power Supply,C9K-PWR-650WAC-R,V01,DCI2341211P
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Fan Tray 0,Cisco Catalyst 9500 Series Fan Tray,C9K-T1-FANTRAY,,
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Fan Tray 1,Cisco Catalyst 9500 Series Fan Tray,C9K-T1-FANTRAY,,
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 1 Slot 1 Supervisor,Cisco Catalyst 9500 Series Router,C9500-24Y4C,V01,CAT2342L0CL
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/1,10G AOC5M,SFP-10G-AOC5M,V01,A4Z2136K2E5-B
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/2,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251GG2
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/3,SFP+ 10GBASE-SR,SFP-10G-SR,V03,OPM23211GZN
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/4,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251HVL
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/10,GE T,GLC-TE,V01,AVC232621TC
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/11,GE T,GLC-TE,V01,AVC232621SW
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/12,GE T,GLC-TE,V01,AVC2326280N
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/13,GE T,GLC-TE,V01,AVC2326283F
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/20,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251KQU
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/23,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251JZL
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE1/0/24,10G AOC5M,SFP-10G-AOC5M,V01,A4Z2141K201-B
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Chassis,Cisco Catalyst 9500 Series Chassis,C9500-24Y4C,V01,CAT2342L07P
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Power Supply Module 0,Cisco Catalyst 9500 Series 650W AC Power Supply,C9K-PWR-650WAC-R,V01,DCI234120XJ
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Power Supply Module 1,Cisco Catalyst 9500 Series 650W AC Power Supply,C9K-PWR-650WAC-R,V01,DCI234120XW
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Fan Tray 0,Cisco Catalyst 9500 Series Fan Tray,C9K-T1-FANTRAY,,
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Fan Tray 1,Cisco Catalyst 9500 Series Fan Tray,C9K-T1-FANTRAY,,
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,Switch 2 Slot 1 Supervisor,Cisco Catalyst 9500 Series Router,C9500-24Y4C,V01,CAT2342L07P
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/1,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251MPU
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/2,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251GMA
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/3,SFP+ 10GBASE-SR,SFP-10G-SR,V03,OPM23211GUU
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/10,GE T,GLC-TE,V01,AVC232621T0
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/11,GE T,GLC-TE,V01,AVC232621TR
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/12,GE T,GLC-TE,V01,AVC232621U4
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/13,GE T,GLC-TE,V01,AVC232621TJ
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/20,SFP+ 10GBASE-SR,SFP-10G-SR,V03,AVD23219R45
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/23,SFP+ 10GBASE-SR,SFP-10G-SR,V03,ACW23251HVE
LOSLOCX001,1/9/2024 11:06:39 PM,10.62.11.250,TwentyFiveGigE2/0/24,10G AOC5M,SFP-10G-AOC5M,V01,A4Z2141K201-A
LOSLOAX111,1/9/2024 11:06:41 PM,10.62.11.111,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FJC2330W12R
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V05,FJC2329A0N8
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT23142T6P
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT2023079L
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,PVDM subslot 0/4,PVDM4-256 Voice DSP Module,PVDM4-256,V02,FOC23333NVB
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V05,FOC23235HLR
LOSLOVR001,1/9/2024 11:06:51 PM,10.62.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
LOSLOAX2806,1/9/2024 11:06:59 PM,10.62.11.6,1,WS-C3560CX-12TC-S,WS-C3560CX-12TC-S,V01,FOC1914Z11B
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,c93xx Stack,c93xx Stack,C9300-48UXM,V02,FJC2337S0ZY
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,Switch 1,C9300-48UXM,C9300-48UXM,V02,FJC2337S0ZY
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,StackPort1/1,StackPort1/1,STACK-T1-3M,V01,MOC2325A0JN
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,StackPort1/2,StackPort1/2,STACK-T1-3M,V01,MOC2325A2DY
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2325D6L8
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2335P6KA
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V02,FOC23285H2C
LOSLOSX002,1/9/2024 11:08:35 PM,10.62.11.2,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD1910A0K5
