Hostname,Datetime,IP,Name,Description,PID,VID,SN
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,FCZ2621R3QR
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,DCC2539H1J1
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V06,FOC25441U81
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC25441ZBA
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC26174JK0
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC26176E91
MADLOVR001,1/9/2024 11:05:47 PM,10.169.51.250,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
MADLOIX001,1/9/2024 11:05:46 PM,10.169.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2535YKDT
