Hostname,Datetime,IP,Name,Description,PID,VID,SN
MANLOAX163,1/9/2024 11:06:04 PM,10.211.11.163,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2402T06U
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2438L3ZK
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2438L3ZK
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,StackPort1/1,StackPort1/1,STACK-T1-3M,V01,MOC2416A51D
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,StackPort1/2,StackPort1/2,STACK-T1-3M,V01,MOC2416A4WQ
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2430DDWR
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2430DDAX
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC24165Z8A
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V01,FNS24170H05
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2438L3XK
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2039A41R
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,StackPort2/2,StackPort2/2,STACK-T1-3M,V01,MOC2416A51D
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2430D3NR
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2430DD87
MANLOAX153,1/9/2024 11:06:18 PM,10.211.11.153,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC24301NJS
