Hostname,Datetime,IP,Name,Description,PID,VID,SN
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL264200D6
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL264200D6
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2622017A
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
MELLOWC001,1/9/2024 11:06:00 PM,10.222.31.250,Chassis 2 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,", SN:",
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2423U08W
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2423U08W
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2401A3XK
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2401A3XX
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2417DHCZ
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2417DDS4
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V03,FOC24200C0E
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD24169C4J
MELLOSX001,1/9/2024 11:06:22 PM,10.222.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V03,FCW2423C089
