Hostname,Datetime,IP,Name,Description,PID,VID,SN
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617YXN7
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617YXN7
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort1/1,StackPort1/1,STACK-T1-1M,V01,LCC2249H4FH
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2528A5XD
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2627P207
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2627P20B
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FJZ262911LB
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS253701QM
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2627YFFE
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2528A5XD
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2528A611
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2627P1Y1
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2627P203
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 3,C9300-48UXM,C9300-48UXM,V08,FOC2625Y5KT
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,MOC2528A611
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,StackPort3/2,StackPort3/2,STACK-T1-1M,V01,LCC2249H4FH
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2627P2FV
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2627P2EU
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Switch 3 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FJZ26290R43
MEXLOSX2509,1/9/2024 11:06:03 PM,10.57.11.9,Twe3/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS2540011N
MEXLOAX2407,1/9/2024 11:06:09 PM,10.57.11.7,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FJC254026AD
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FJC26221732
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Switch 1,C9300-48UXM,C9300-48UXM,V08,FJC26221732
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2628D4WQ
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2628D6CX
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Switch 1 FRU Uplink Module 1,2x40G Uplink Module,C9300-NM-2Q,V03,FJZ25430RYT
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Fo1/1/1,QSFP 40G AOC10M,QSFP-H40G-AOC10M,V03,DTS2524A879-B
MEXLOMX002,1/9/2024 11:06:05 PM,10.57.11.202,Fo1/1/2,QSFP 40G AOC10M,QSFP-H40G-AOC10M,V03,DTS2524A865-B
MEXLOWC001,1/9/2024 11:06:05 PM,10.57.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2527006T
