Hostname,Datetime,IP,Name,Description,PID,VID,SN
MIALOIX002,1/9/2024 11:06:06 PM,10.91.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2702YAR0
MIALOIX002,1/9/2024 11:06:06 PM,10.91.11.192,GigabitEthernet0/11,10/100/1000BaseTX SFP,GLC-TE,V01,AVC230124B9
MIALOIX002,1/9/2024 11:06:06 PM,10.91.11.192,GigabitEthernet0/12,10/100/1000BaseTX SFP,GLC-TE,V01,AVC230124BM
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FJC26491ZLJ
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Switch 1,C9300-48UXM,C9300-48UXM,V08,FJC26491ZLJ
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2646D9PV
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2646D9MW
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V03,FJZ2639NHZH
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/1,SFP-10GBase-CX1,,,161125960
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/2,SFP-10GBase-CX1,,,170068397
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/3,SFP-10GBase-CX1,,,161125971
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/4,SFP-10GBase-CX1,,,170068366
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/7,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW253715MH
MIALOMX002,1/9/2024 11:06:19 PM,10.91.11.202,Te1/1/8,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW253715MW
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL260400DG
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL260400DG
MIALOWC001,1/9/2024 11:06:22 PM,10.91.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FJC264920TG
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V08,FJC2649219S
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2643A576
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,StackPort1/2,StackPort1/2,STACK-T1-1M,V01,LCC2634GDVP
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2646D9H1
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2646D37T
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FJZ264215N6
MIALOSX4803,1/9/2024 11:06:23 PM,10.91.11.3,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26070L6G
