Hostname,Datetime,IP,Name,Description,PID,VID,SN
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YRD1
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YRD1
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2208A1T2
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2208A1SS
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2530D96N
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2530D98N
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26081JZM
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS25490EG3
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,usbflash1,usbflash1-1,SSD-240G,3.10,STP2522082V
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2625Y87H
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2208A1SS
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2208A1T2
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2625D5B5
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2552DJNC
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26081JTC
MILLOSX0502,1/9/2024 11:05:52 PM,10.180.11.2,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS254906U5
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,c93xx Stack,c93xx Stack,C9300-48UXM,V05,FOC2542YRSL
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 1,C9300-48UXM,C9300-48UXM,V05,FOC2542YRSL
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2544G7RE
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2544G9A9
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2530D99N
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2530D99B
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26081HWM
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS254908VQ
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2625Y7WA
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2544G9A9
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2544G7RE
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2552DJJ7
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2625D5B2
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC26081JRC
MILLOSX0609,1/9/2024 11:05:53 PM,10.180.11.9,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS25490JM9
