Hostname,Datetime,IP,Name,Description,PID,VID,SN
MOSLOIX001,1/9/2024 11:06:21 PM,10.181.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2220Y57B
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FCW2139F0ZB
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2139F0ZB
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2133A3EK
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2133A3K0
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2132V422
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2132V424
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC20382TE0
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Te1/1/1,SFP-10GBase-CX1,,,CN0358VV8551W87
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Te1/1/2,SFP-10GBase-CX1,,,163385634
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 2,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2139D1A7
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2133A3K0
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2133A3EK
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2132V4GZ
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2132V4GY
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Switch 2 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC20376G4S
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Te2/1/1,SFP-10GBase-CX1,,,163385600
MOSLOMX001,1/9/2024 11:06:41 PM,10.181.11.201,Te2/1/2,SFP-10GBase-CX1,,,163385627
MOSLOFW012-SEC,1/9/2024 11:06:46 PM,10.181.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,FCZ2516R5T1
MOSLOFW011-PRI,1/9/2024 11:07:09 PM,10.181.252.1,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,FCZ2516R5SY
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,CISCO3925-CHASSIS,CISCO3925-CHASSIS,CISCO3925-CHASSIS,V02,FHK1442F3AJ
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,Cisco Services Performance Engine 200 for Cisco 3900 ISR on Slot 0,Cisco Services Performance Engine 200 for Cisco 3900 ISR,C3900-SPE200/K9,V01,FOC143745SX
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,VWIC2-2MFT-G703  - 2-Port RJ-48 Multiflex Trunk - G.703 on Slot 0 SubSlot 0,VWIC2-2MFT-G703  - 2-Port RJ-48 Multiflex Trunk - G.703,VWIC2-2MFT-G703,V01,FOC15285QTC
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,PVDM3 DSP DIMM with 128 Channels on Slot 0 SubSlot 3,PVDM3 DSP DIMM with 128 Channels,PVDM3-128,V01,FOC14364263
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,C3900 AC Power Supply 1,C3900 AC Power Supply 1,PWR-3900-AC,V02,SNI1439C92X
MOSLOVR001,1/9/2024 11:07:08 PM,10.181.51.11,C3900 AC Power Supply 2,C3900 AC Power Supply 2,PWR-3900-AC,V02,SNI1439C92V
