Hostname,Datetime,IP,Name,Description,PID,VID,SN
MUSLOIX002,1/9/2024 11:06:00 PM,10.157.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W205
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,Chassis,Cisco ISR4331 Chassis,ISR4331/K9,V04,FLM2145W0GD
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR 4330,PWR-4330-AC,V03,DCA2212116U
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,Fan Tray,Cisco ISR4330 Fan Assembly,ACS-4330-FANASSY,,
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,module 0,Cisco ISR4331 Built-In NIM controller,ISR4331/K9,,
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,PVDM subslot 0/4,PVDM4-32 Voice DSP Module,PVDM4-32,V02,FOC20285EF7
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,NIM subslot 0/0,Front Panel 3 ports Gigabitethernet Module,ISR4331-3x1GE,V01,
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,module 1,Cisco ISR4331 Built-In SM controller,ISR4331/K9,,
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,module R0,Cisco ISR4331 Route Processor,ISR4331/K9,V04,FDO22182J2N
MUSLOVR001,1/9/2024 11:06:09 PM,10.157.51.11,module F0,Cisco ISR4331 Forwarding Processor,ISR4331/K9,", SN:",
MUSLOFW012-SEC,1/9/2024 11:06:12 PM,10.157.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2614X1WF
MUSLOFW011-PRI,1/9/2024 11:06:17 PM,10.157.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2614X1WG
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FCW2032D1PK
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2032D1PK
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2142A3VP
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2026G3FV
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,DTN2020V4V5
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2213V1MA
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 2,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FOC2223X0E6
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2026G3FV
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2142A3VP
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,LIT20100ANT
MUSLOCX001,1/9/2024 11:06:18 PM,10.157.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,LIT22162PA7
MUSLOAX101,1/9/2024 11:06:12 PM,10.157.11.101,1,WS-C2960X-48FPS-L,WS-C2960X-48FPS-L,V07,FOC2246T6CE
MUSLOIX001,1/9/2024 11:06:22 PM,10.157.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2215Y51B
