Hostname,Datetime,IP,Name,Description,PID,VID,SN
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FCW2226D07L
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2226D07L
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2226GC2A
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC1836G3UU
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT174516WH
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT174516KT
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 2,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FOC2225X140
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC1836G3UU
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2226GC2A
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,LIT1745167R
NY2LOAX0205,1/9/2024 11:06:16 PM,10.122.11.5,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,LIT174516H7
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,c92xx Stack,c92xx Stack,C9200-48P,V03,JAE255300QW
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 1,C9200-48P,C9200-48P,V03,JAE255300QW
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackPort1/2,StackPort1/2,STACK-T4-50CM,V02,MOC254003V5
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackAdapter1/1,StackAdapter1/1,C9200-STACK,V02,FOC25531CFK
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackAdapter1/2,StackAdapter1/2,C9200-STACK,V02,FOC25531K41
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C6-1KWAC,V01,DCI2533N2HK
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C6-1KWAC,V01,DCI2527N3CR
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C9200-NM-4X,V02,FOC25324WGL
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,OPM25370H8Z
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 2,C9200-48P,C9200-48P,V03,JAE255301KX
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackPort2/1,StackPort2/1,STACK-T4-50CM,V02,MOC254003V5
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackAdapter2/1,StackAdapter2/1,C9200-STACK,V02,FOC25531K3U
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,StackAdapter2/2,StackAdapter2/2,C9200-STACK,V02,FOC25531BWB
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C6-1KWAC,V01,DCI2533N215
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C6-1KWAC,V01,DCI2527N3CE
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Switch 2 FRU Uplink Module 1,4x10G Uplink Module,C9200-NM-4X,V02,FOC25324YFB
NY2LOAX0202,1/9/2024 11:06:16 PM,10.122.11.2,Te2/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AGD160347C2
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2552Y7U5
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2552Y7U5
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2530A7BB
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2226GC6P
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2544DUKZ
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2544DV0C
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C9300-NM-8X,V03,FJZ25490SJX
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR-S,V01,ACW254602JS
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Te1/1/2,SFP-10GBase-SR,SFP-10G-SR-S,V01,OPM263113N7
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Te1/1/4,SFP-10GBase-SR,SFP-10G-SR-S,V01,OPM263113N5
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Te1/1/6,SFP-10GBase-CX1,MA-CBL-TA-1M,,JPC235204JA
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2552Y7AF
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2226GC6P
NY2LOSX0201,1/9/2024 11:06:18 PM,10.122.11.1,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2530A7BB
