Hostname,Datetime,IP,Name,Description,PID,VID,SN
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL264500NV
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL264500NV
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,,
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 2,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,03,FCL274000AM
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 2 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
PALLOWC001,1/9/2024 11:06:04 PM,10.66.31.250,Chassis 2 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,", SN:",
PALLOIX002,1/9/2024 11:06:08 PM,10.66.11.192,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2230Y6M4
PALLOFW012-SEC,1/9/2024 11:06:31 PM,10.66.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2537X0ZU
PALLOFW011-PRI,1/9/2024 11:06:31 PM,10.66.252.1,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,JMX2537X0ZW
PALLOSX104,1/9/2024 11:06:48 PM,10.66.11.104,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FCW2142A4XK
PALLOSX109,1/9/2024 11:07:19 PM,10.66.11.109,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FCW2212A65D
PALLOSX107,1/9/2024 11:07:16 PM,10.66.11.107,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FCW2212A65M
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FCW2133C04U
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2133C04U
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2127A40F
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2127A401
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2128V4VU
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2128V4VR
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 1 FRU Uplink Module 1,8x10G Uplink Module,C3850-NM-8-10G,V01,FOC21301Y5W
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD2031ADJJ
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te1/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,AVD2031ADKN
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te1/1/5,SFP-10GBase-SR,SFP-10G-SR,V03,AVD2031AKKS
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 2,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2133F021
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2127A401
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2127A40F
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2128V4YR
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2128V4YS
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Switch 2 FRU Uplink Module 1,8x10G Uplink Module,C3850-NM-8-10G,V01,FOC22273L2U
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te2/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1932GTDG
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te2/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1932GTDW
PALLOCX101,1/9/2024 11:07:37 PM,10.66.11.250,Te2/1/5,SFP-10GBase-SR,SFP-10G-SR,V03,JUR1932GNVB
PALLOIX101,1/9/2024 11:07:27 PM,10.66.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2119Y1MY
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FOC2133X03B
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FOC2133X03B
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2127A3ZF
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2127A40D
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2128V4VH
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2128V4YV
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC213156TA
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD2031AKHM
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 2,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2133C051
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2127A40D
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2127A3ZF
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2128V4YX
PALLOSX002,1/9/2024 11:07:34 PM,10.66.11.2,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2128V4VQ
