Hostname,Datetime,IP,Name,Description,PID,VID,SN
PARLOAX106,1/9/2024 11:06:00 PM,10.154.11.106,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2402T0A5
PARLOAX109,1/9/2024 11:06:00 PM,10.154.11.109,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2307T19H
PARLOAX107,1/9/2024 11:06:00 PM,10.154.11.107,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2402T09D
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,c38xx Stack,c38xx Stack,WS-C3850-48F-S,V07,FCW2042D00T
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 1,WS-C3850-48F-S,WS-C3850-48F-S,V07,FCW2042D00T
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2314A05Q
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2514A5T0
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT203833PA
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT203833AA
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC20387V9P
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 2,WS-C3850-48P-S,WS-C3850-48P-S,V03,FOC1823U059
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2514A5T0
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2314A05Q
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,LIT203833ED
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,LIT203833JU
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Switch 2 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC2040136Y
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Te2/1/3,SFP-10GBase-LR,SFP-10G-LR-S,V01,OPM26031J35
PARLOSX241,1/9/2024 11:05:56 PM,10.154.11.241,Te2/1/4,SFP-10GBase-LR,SFP-10G-LR-S,V01,OPM26031J1E
PARLOAX103,1/9/2024 11:06:00 PM,10.154.11.103,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2347T131
PARLOSX020,1/9/2024 11:05:54 PM,10.154.11.20,1,C1000-24P-4X-L,C1000-24P-4X-L,V02,FOC2708Y905
PARLOSX018,1/9/2024 11:06:09 PM,10.154.11.18,1,C1000-24P-4X-L,C1000-24P-4X-L,V02,FOC2708Y939
PARLOSX018,1/9/2024 11:06:09 PM,10.154.11.18,TenGigabitEthernet1/0/1,SFP-10GBase-SR,SFP-10G-SR,V03,AVD21219VEU
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FOC2131X165
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FOC2131X165
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2203G8AE
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2203G8C5
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2124V4UX
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2124V4X0
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC212845EG
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Te1/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,AVD21219VDH
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 2,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2131C1H5
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2203G8CG
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2203G8AE
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2124V4YT
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2124V4YS
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 3,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2131F1G0
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,LCC2203G8C5
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,LCC2203G8CG
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC,V02,DTN2124V4WZ
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC,V02,DTN2124V4YV
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Switch 3 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC21278W8J
PARLOSX019,1/9/2024 11:06:14 PM,10.154.11.19,Te3/1/3,SFP-10GBase-SR,SFP-10G-SR,V03,AVD21219VCZ
PARLOFW012-SEC,1/9/2024 11:06:19 PM,10.154.252.2,module 0,"Firepower 2130 Appliance,1RU, 12GE, 4 xSFP+, 1MGMT, 1NM Slot",FPR-2130,V04,FCZ2544R8X4
PARLOFW011-PRI,1/9/2024 11:06:19 PM,10.154.252.1,module 0,"Firepower 2130 Appliance,1RU, 12GE, 4 xSFP+, 1MGMT, 1NM Slot",FPR-2130,V04,FCZ2544R8WT
PARLOSX015,1/9/2024 11:06:22 PM,10.154.11.15,1,C1000-24P-4X-L,C1000-24P-4X-L,V02,FOC2708Y97A
PARLOSX002,1/9/2024 11:06:22 PM,10.154.11.2,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FOC2131U1G8
