Hostname,Datetime,IP,Name,Description,PID,VID,SN
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2540006Q
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2540006Q
PRALOWC101,1/9/2024 11:05:50 PM,10.161.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
PRALOIX002,1/9/2024 11:06:00 PM,10.161.11.192,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2129Y4K2
PRALOAX103,1/9/2024 11:06:02 PM,10.161.11.103,1,WS-C2960X-48FPS-L,WS-C2960X-48FPS-L,V07,FOC2342T28Z
PRALOAX101,1/9/2024 11:06:06 PM,10.161.11.101,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2314Y0TT
PRALOAX102,1/9/2024 11:06:07 PM,10.161.11.102,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2314Y0TP
PRALOIX001,1/9/2024 11:06:40 PM,10.161.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W234
PRALOFW012-SEC,1/9/2024 11:06:48 PM,10.161.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,FCZ2545R5DD
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,c38xx Stack,c38xx Stack,WS-C3850-48P-L,V03,FOC1813U0E1
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 1,WS-C3850-48P-L,WS-C3850-48P-L,V04,FOC1834X1ZU
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC1814G18G
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC1814G178
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT1802106J
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT180210F2
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC180851HA
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Te1/1/1,SFP-10GBase-LRM,SFP-10G-LRM,V03,AGD1803V13T
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 2,WS-C3850-48P-L,WS-C3850-48P-L,V03,FOC1813U0E1
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC1814G178
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC1814G18G
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-715WAC,V01,LIT17510DPW
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-715WAC,V01,LIT17510DQW
PRALOSX003,1/9/2024 11:06:52 PM,10.161.11.3,Switch 2 FRU Uplink Module 1,4x10G Uplink Module,C3850-NM-4-10G,V01,FOC180851HC
