Hostname,Datetime,IP,Name,Description,PID,VID,SN
RIYLOIX002,1/9/2024 11:05:59 PM,10.171.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2217T3DU
RIYLOAX101,1/9/2024 11:06:09 PM,10.171.11.101,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2243T4TW
RIYLOIX001,1/9/2024 11:06:30 PM,10.171.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2026W20C
RIYLOFW011-PRI,1/9/2024 11:06:41 PM,10.171.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2614X1FW
RIYLOFW012-SEC,1/9/2024 11:06:33 PM,10.171.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2614X1FY
RIYLOVR002,1/9/2024 11:06:47 PM,10.171.51.252,VG204XM Chassis,VG204XM Chassis,VG204XM,V01,FCH2002S05W
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FCW2130F0C4
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2130F0C4
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2122V3C1
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,DTN1834V1WK
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC20061912
RIYLOSX001,1/9/2024 11:06:47 PM,10.171.11.1,Te1/1/3,SFP-10GBase-LRM,SFP-10G-LRM,V03,AGD1709V0Y9
