Hostname,Datetime,IP,Name,Description,PID,VID,SN
SAOLOSX001,1/9/2024 11:06:06 PM,10.59.11.1,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2611Y7E6
SAOLOFW012-SEC,1/9/2024 11:06:21 PM,10.59.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X2H7
SAOLOIX002,1/9/2024 11:06:12 PM,10.59.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2702YAPT
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2604006X
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2604006X
SAOLOWC002,1/9/2024 11:06:18 PM,10.59.31.13,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
SAOLOFW011-PRI,1/9/2024 11:06:23 PM,10.59.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X2H5
SAOLOIX001,1/9/2024 11:07:27 PM,10.59.11.191,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V02,FOC2034Y0N9
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FOC2205X0ZJ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FOC2205X0ZJ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2146G6E0
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2145A2ZK
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2150V3UP
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2150V3UQ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 1 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC22025FNJ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 2,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2205F0PX
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2146G6DQ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2146G6E0
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2150V3UD
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2150V3UL
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 2 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC22022JED
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 3,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FOC2208X09L
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,MOC2145A2ZK
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,LCC2146G6DQ
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC,V02,DTN2202V1JW
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC,V02,DTN2145V49G
SAOLOCX001,1/9/2024 11:07:56 PM,10.59.11.250,Switch 3 FRU Uplink Module 1,4x1G Uplink Module,C3850-NM-4-1G,V01,FOC22022JV7
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V07,TSP2709AFDM
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2631AKLU
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT2631AKPF
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V06,FOC26437N79
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,TSP26510457
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V07,FOC26386G48
SAOLOVR001,1/9/2024 11:07:48 PM,10.59.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
