Hostname,Datetime,IP,Name,Description,PID,VID,SN
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FGL1940106A
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT19330A0Q
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT19330AAG
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V03,FOC19374V8P
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC19341QVJ
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC19341R2X
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,JAB092709EL
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V01,FOC19371H7J
SEOLOVR001,1/9/2024 11:06:47 PM,10.202.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
SEOLOSX002,1/9/2024 11:07:06 PM,10.202.11.2,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FCW2151F0JX
SEOLOSX002,1/9/2024 11:07:06 PM,10.202.11.2,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FCW2151F0JX
SEOLOSX002,1/9/2024 11:07:06 PM,10.202.11.2,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2147V0YJ
SEOLOSX002,1/9/2024 11:07:06 PM,10.202.11.2,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2147V0YH
SEOLOSX001,1/9/2024 11:07:01 PM,10.202.11.1,1,WS-C3560CX-8PC-S,WS-C3560CX-8PC-S,V03,FOC2122Z4MS
SEOLOFW012-SEC,1/9/2024 11:07:02 PM,10.202.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X4D7
SEOLOFW011-PRI,1/9/2024 11:07:05 PM,10.202.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X4BM
SEOLOIX001,1/9/2024 11:07:06 PM,10.202.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V03,FOC2034Z49Y
SEOLOSX003,1/9/2024 11:07:02 PM,10.202.11.3,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2204T13W
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,c38xx Stack,c38xx Stack,WS-C3850-48F-E,V06,FOC1937X1NE
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 1,WS-C3850-48F-E,WS-C3850-48F-E,V06,FOC1937X1NE
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC1936A3H3
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC1936A4ZG
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V01,LIT1937006C
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V01,LIT193701C2
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 2,WS-C3850-48F-E,WS-C3850-48F-E,V06,FCW1937C1SA
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC1936A4ZG
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC1936A3H3
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V01,LIT193702EU
SEOLOCX001,1/9/2024 11:07:22 PM,10.202.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V01,LIT193703BM
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2616009P
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2616009P
SEOLOWC001,1/9/2024 11:07:18 PM,10.202.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
