Hostname,Datetime,IP,Name,Description,PID,VID,SN
SHALOAX102,1/9/2024 11:06:50 PM,10.203.11.102,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2431L4VP
SHALOAX102,1/9/2024 11:06:50 PM,10.203.11.102,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2431L4VP
SHALOAX102,1/9/2024 11:06:50 PM,10.203.11.102,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT242824UH
SHALOAX102,1/9/2024 11:06:50 PM,10.203.11.102,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT242823SA
SHALOFW004-SEC,1/9/2024 11:06:45 PM,10.203.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2436X0CF
SHALOAX101,1/9/2024 11:06:51 PM,10.203.11.101,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2431L4AZ
SHALOAX101,1/9/2024 11:06:51 PM,10.203.11.101,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2431L4AZ
SHALOAX101,1/9/2024 11:06:51 PM,10.203.11.101,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT242823UT
SHALOAX101,1/9/2024 11:06:51 PM,10.203.11.101,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT242824E6
SHALOIX102,1/9/2024 11:06:45 PM,10.203.11.192,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2424L2P5
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2431L49H
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2431L49H
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2426A4UH
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2426A4Y9
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT242823WQ
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT242823UV
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 2,C9300-48UXM,C9300-48UXM,V03,FOC2431L49G
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,MOC2426A4U1
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2426A4UH
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,LIT242823VU
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,LIT242823WH
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 3,C9300-48UXM,C9300-48UXM,V03,FOC2431L4AC
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,MOC2426A4Y9
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,MOC2426A4U1
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC,V02,LIT242824W5
SHALOCX001,1/9/2024 11:06:45 PM,10.203.11.250,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC,V02,LIT2428249U
SHALOIX101,1/9/2024 11:06:48 PM,10.203.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2424L2KY
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL242900F0
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL242900F0
SHALOWC101,1/9/2024 11:06:52 PM,10.203.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
SHALOFW003-PRI,1/9/2024 11:06:47 PM,10.203.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2436X0CD
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V06,FGL2431LBLL
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT24282MWN
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT24282MXC
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V05,FOC24280NXW
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,subslot 0/1 db module 0,PVDM4-128 Voice DSP Module,PVDM4-128,V02,FOC23443BS5
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V06,FOC24284X8V
SHALOVR101,1/9/2024 11:06:48 PM,10.203.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
