Hostname,Datetime,IP,Name,Description,PID,VID,SN
SINLOAX105,1/9/2024 11:06:00 PM,10.205.11.105,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2629YDH8
SINLOAX103,1/9/2024 11:05:59 PM,10.205.11.103,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2624Y63V
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,c92xx Stack,c92xx Stack,C9200-48P,V03,JAE26040ZQB
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Switch 1,C9200-48P,C9200-48P,V03,JAE26040ZQB
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackPort1/1,StackPort1/1,STACK-T4-50CM,V02,LCC2535H1D8
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackPort1/2,StackPort1/2,STACK-T4-50CM,V02,LCC2535H1CG
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackAdapter1/1,StackAdapter1/1,C9200-STACK,V02,JAE25470MUJ
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackAdapter1/2,StackAdapter1/2,C9200-STACK,V02,JAE25470MSB
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C6-1KWAC,V01,ART2537F1NT
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C6-1KWAC,V01,DCI2531N40Z
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Switch 1 FRU Uplink Module 1,4x10G Uplink Module,C9200-NM-4X,V02,JAE25370XGT
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Te1/1/1,SFP-10GBase-SR,SFP-10G-SR,V03,ACW253619SC
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,Switch 2,C9200-48P,C9200-48P,V03,JAE260415W3
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackPort2/1,StackPort2/1,STACK-T4-50CM,V02,LCC2535H1CG
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackPort2/2,StackPort2/2,STACK-T4-50CM,V02,LCC2535H1D8
SINLOAX101,1/9/2024 11:05:59 PM,10.205.11.101,StackAdapter2/1,StackAdapter2/1,C9200-STACK,V02,JAE25470J1X
