Hostname,Datetime,IP,Name,Description,PID,VID,SN
STOLOSX015,1/9/2024 11:06:00 PM,10.156.11.15,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2313Y134
STOLOSX016,1/9/2024 11:06:00 PM,10.156.11.16,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2313Y12M
STOLOSX012,1/9/2024 11:05:47 PM,10.156.11.12,1,WS-C2960CX-8PC-L,WS-C2960CX-8PC-L,V03,FOC2218Y1QD
STOLOSX014,1/9/2024 11:06:05 PM,10.156.11.14,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2313Y12L
STOLOSX003,1/9/2024 11:06:08 PM,10.156.11.3,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2231T41Q
STOLOSX007,1/9/2024 11:06:05 PM,10.156.11.7,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2239Y1UM
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,c38xx Stack,c38xx Stack,WS-C3850-12X48U-L,V02,FOC2244U0VT
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,Switch 1,WS-C3850-12X48U-L,WS-C3850-12X48U-L,V02,FOC2244U0VT
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2239A5HH
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2239A57J
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,LIT223146LQ
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,LIT223146TR
STOLOSX001,1/9/2024 11:06:02 PM,10.156.11.1,Switch 1 FRU Uplink Module 1,2x1G 2x10G Uplink Module,C3850-NM-2-10G,V01,FOC2242BXMP
