Hostname,Datetime,IP,Name,Description,PID,VID,SN
SYDLOAX0510,1/9/2024 11:06:00 PM,10.225.11.10,Switch 1,C9200CX-12P-2X2G,C9200CX-12P-2X2G,V01,FJC265212S6
SYDLOAX0504,1/9/2024 11:06:01 PM,10.225.11.4,Switch 1,C9200CX-12P-2X2G,C9200CX-12P-2X2G,V01,FJC27222AML
SYDLOAX0506,1/9/2024 11:06:02 PM,10.225.11.6,Switch 1,C9200CX-12P-2X2G,C9200CX-12P-2X2G,V01,FJC265210GU
SYDLOAX0507,1/9/2024 11:06:03 PM,10.225.11.7,Switch 1,C9200CX-12P-2X2G,C9200CX-12P-2X2G,V01,FJC2652164E
SYDLOAX0512,1/9/2024 11:06:04 PM,10.225.11.12,Switch 1,C9200CX-12P-2X2G,C9200CX-12P-2X2G,V01,FJC26521625
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2707Y5AB
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2707Y5AB
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2626GGEL
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort1/2,StackPort1/2,STACK-T1-1M,V01,MOC2631A1XP
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2702P036
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2703P2D4
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC270313PN
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26270T9Y
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26270T8T
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 2,C9300-48UXM,C9300-48UXM,V08,FOC2707Y5M2
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2626GGEE
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,LCC2626GGEL
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC-P,V01,ART2703P25B
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2703D16K
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 2 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC2703187W
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Twe2/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26270U7D
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 3,C9300-48UXM,C9300-48UXM,V08,FJC2731111Q
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort3/1,StackPort3/1,STACK-T1-50CM,V01,MOC2635A0M5
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort3/2,StackPort3/2,STACK-T1-50CM,V01,LCC2626GGEE
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 3 - Power Supply A,Switch 3 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2703D16N
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 3 - Power Supply B,Switch 3 - Power Supply B,PWR-C1-1100WAC-P,V01,ART2702P07T
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 3 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FOC27030Y19
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Twe3/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS26270JN4
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 4,C9300-48UXM,C9300-48UXM,V08,FOC2707Y2AF
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort4/1,StackPort4/1,STACK-T1-1M,V01,MOC2631A1XP
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,StackPort4/2,StackPort4/2,STACK-T1-50CM,V01,MOC2635A0M5
SYDLOCX111,1/9/2024 11:06:06 PM,10.225.11.250,Switch 4 - Power Supply A,Switch 4 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2703D1FK
