Hostname,Datetime,IP,Name,Description,PID,VID,SN
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2547006K
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2547006K
TAMLOWC101,1/9/2024 11:06:01 PM,10.64.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
TAMLOAX0308,1/9/2024 11:06:08 PM,10.64.11.8,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2624YG9A
TAMLOAX0304,1/9/2024 11:06:19 PM,10.64.11.4,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2614Y7TX
TAMLOAX0307,1/9/2024 11:06:20 PM,10.64.11.7,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2625Y0HU
TAMLOAX0209,1/9/2024 11:06:19 PM,10.64.11.9,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2625Y0EX
TAMLOAX0305,1/9/2024 11:06:21 PM,10.64.11.5,1,WS-C3560CX-12PC-S,WS-C3560CX-12PC-S,V03,FOC2614Y7LX
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617Z26N
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617Z26N
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,DCC2621D95H
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,DCC2621DD7F
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Switch 1 FRU Uplink Module 1,2x25G Uplink Module,C9300-NM-2Y,V01,FJZ2539YUTU
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Twe1/1/1,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS254213BC
TAMLOAX0303,1/9/2024 11:06:15 PM,10.64.11.3,Twe1/1/2,SFP-10/25GBase-CSR,SFP-10/25G-CSR-S,V03,FNS254213AY
TAMLOFW003-PRI,1/9/2024 11:06:19 PM,10.64.252.1,module 0,"Firepower 2130 Appliance,1RU, 12GE, 4 xSFP+, 1MGMT, 1NM Slot",FPR-2130,V04,JMX2605X16B
TAMLOAX0210,1/9/2024 11:06:14 PM,10.64.11.10,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2625Y0HB
TAMLOAX0306,1/9/2024 11:06:21 PM,10.64.11.6,1,C1000-24P-4G-L,C1000-24P-4G-L,V01,FOC2625Y0HL
TAMLOSX0301,1/9/2024 11:06:24 PM,10.64.11.1,c93xx Stack,c93xx Stack,C9300-48UXM,V08,FOC2617Z1VN
TAMLOSX0301,1/9/2024 11:06:24 PM,10.64.11.1,Switch 1,C9300-48UXM,C9300-48UXM,V08,FOC2617Z1VN
TAMLOSX0301,1/9/2024 11:06:24 PM,10.64.11.1,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2530A78P
TAMLOSX0301,1/9/2024 11:06:24 PM,10.64.11.1,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,MOC2530A7B2
