Hostname,Datetime,IP,Name,Description,PID,VID,SN
TASLOFW012-SEC,1/9/2024 11:06:26 PM,10.165.252.2,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X1WC
TASLOSX001,1/9/2024 11:06:28 PM,10.165.11.1,1,WS-C2960X-24PS-L,WS-C2960X-24PS-L,V05,FOC2213V0NG
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,Chassis,Cisco ISR4331 Chassis,ISR4331/K9,V07,FLM2047W1FY
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR 4330,PWR-4330-AC,V01,PST2043N08S
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,Fan Tray,Cisco ISR4330 Fan Assembly,ACS-4330-FANASSY,,
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,module 0,Cisco ISR4331 Built-In NIM controller,ISR4331/K9,,
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,PVDM subslot 0/4,PVDM4-32 Voice DSP Module,PVDM4-32,V02,FOC2210099Y
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,NIM subslot 0/0,Front Panel 3 ports Gigabitethernet Module,ISR4331-3x1GE,V01,JAB092709EL
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,module 1,Cisco ISR4331 Built-In SM controller,ISR4331/K9,,
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,module R0,Cisco ISR4331 Route Processor,ISR4331/K9,V07,FDO20432M0E
TASLOVR001,1/9/2024 11:06:30 PM,10.165.51.11,module F0,Cisco ISR4331 Forwarding Processor,ISR4331/K9,", SN:",
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,c38xx Stack,c38xx Stack,WS-C3850-12X48U-E,V02,FCW2211C0S9
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 1,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2211C0S9
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC2206A0AK
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2204G30T
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC,V02,DTN2151V3AD
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC,V02,DTN2151V3AF
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 2,WS-C3850-12X48U-E,WS-C3850-12X48U-E,V02,FCW2211F0BJ
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,StackPort2/1,StackPort2/1,STACK-T1-50CM,V01,LCC2204G30T
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,StackPort2/2,StackPort2/2,STACK-T1-50CM,V01,MOC2206A0AK
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 2 - Power Supply A,Switch 2 - Power Supply A,PWR-C1-1100WAC,V02,DTN2151V2TE
TASLOCX001,1/9/2024 11:06:26 PM,10.165.11.250,Switch 2 - Power Supply B,Switch 2 - Power Supply B,PWR-C1-1100WAC,V02,DTN2151V35E
TASLOFW011-PRI,1/9/2024 11:06:30 PM,10.165.252.1,module 0,"Firepower 1120 Appliance, 1RU, 8 GE, 4 xSFP, 1 MGMT",FPR-1120,V01,JMX2544X1WG
TASLOIX001,1/9/2024 11:06:41 PM,10.165.11.191,1,WS-C2960CX-8TC-L,WS-C2960CX-8TC-L,V04,FOC2213Y2A4
TASLOSX002,1/9/2024 11:06:43 PM,10.165.11.2,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2212T39B
TASLOSX002,1/9/2024 11:06:43 PM,10.165.11.2,1,C1000-24P-4G-L,C1000-24P-4G-L,V02,FOC2702Y17X
TASLOSX002,1/9/2024 11:06:43 PM,10.165.11.2,GigabitEthernet1/0/25,10/100/1000BaseTX SFP,GLC-T,,AGM20224239
TASLOSX002,1/9/2024 11:06:43 PM,10.165.11.2,GigabitEthernet1/0/26,10/100/1000BaseTX SFP,GLC-T,,MTC162802ME
