Hostname,Datetime,IP,Name,Description,PID,VID,SN
TOKLOAX102,1/9/2024 11:06:44 PM,10.229.11.102,1,WS-C2960X-24PSQ-L,WS-C2960X-24PSQ-L,V05,FOC2428L0ED
TOKLOAX101,1/9/2024 11:06:51 PM,10.229.11.101,1,WS-C2960X-48FPS-L,WS-C2960X-48FPS-L,V07,FOC2350LEN1
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FGL19411070
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT19510TPC
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT19330BK5
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,NIM subslot 0/1,NIM-2MFT-T1/E1 - T1/E1 Serial Module,NIM-2MFT-T1/E1,V03,FOC19346CL7
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,subslot 0/1 db module 0,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC19341R14
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,NIM subslot 0/2,NIM-2BRI-NT/TE Voice Analog Module,NIM-2BRI-NT/TE,V01,FOC19045G0K
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC19341Q3G
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,JAB092709EL
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V01,FOC19371GXY
TOKLOVR001,1/9/2024 11:06:55 PM,10.229.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
TOKLOIX001,1/9/2024 11:07:04 PM,10.229.11.191,1,WS-C3560CX-12PD-S,WS-C3560CX-12PD-S,V04,FOC2347L1LC
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,Chassis 1,Cisco C9800-L-C-K9 Chassis,C9800-L-C-K9,01,FCL2540006B
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,Chassis 1 Power Supply Module 0,Cisco Catalyst Wireless Controller 12V DC Generic Power Supply,PWR-12V,,
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,Chassis 1 Fan Tray,Cisco C9800-L-C-K9 Fan Tray,C9800-L-C-K9-FAN,,
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,module 0,Cisco C9800-L-C-K9 Modular Interface Processor,C9800-L-C-K9,,
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,SPA subslot 0/0,Front Panel bay-0 4 ports 2.5 Gigabitethernet Module,BUILT-IN-4x2_5GE,V01,N/A
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,SPA subslot 0/1,Front Panel bay-1 2 ports Ten/Gigabitethernet Module,BUILT-IN-2x10GE-C,V01,N/A
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,module R0,Cisco C9800-L-C-K9 Route Processor,C9800-L-C-K9,01,FCL2540006B
TOKLOWC101,1/9/2024 11:07:16 PM,10.229.31.11,module F0,Cisco C9800-L-C-K9 Embedded Services Processor,C9800-L-C-K9,", SN:",
TOKLOSX002,1/9/2024 11:07:21 PM,10.229.11.2,c38xx Stack,c38xx Stack,WS-C3850-48P-L,V04,FOC1842U0DH
TOKLOSX002,1/9/2024 11:07:21 PM,10.229.11.2,Switch 1,WS-C3850-48P-L,WS-C3850-48P-L,V04,FOC1842U0DH
TOKLOSX002,1/9/2024 11:07:21 PM,10.229.11.2,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,MOC1830A40K
