Hostname,Datetime,IP,Name,Description,PID,VID,SN
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V04,FGL213580GU
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,Power Supply Module 0,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT21292DWX
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V02,LIT21292DYW
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,NIM subslot 0/1,NIM-1MFT-T1/E1 - T1/E1 Serial Module,NIM-1MFT-T1/E1,V04,FOC21325XM9
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,subslot 0/1 db module 0,PVDM4-32 Voice DSP Module,PVDM4-32,V02,FOC21320RZJ
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,PVDM subslot 0/4,PVDM4-64 Voice DSP Module,PVDM4-64,V02,FOC21320RZH
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V04,FOC21320XAK
WARLOVR001,1/9/2024 11:06:26 PM,10.158.51.11,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
WARLOVR003,1/9/2024 11:06:26 PM,10.158.51.13,VG310,"VG310 chassis, Hw Serial#: FCZ2649R2VV, Hw Revision: 1.0",VG310,V01,FCZ2649R2VV
WARLOVR003,1/9/2024 11:06:26 PM,10.158.51.13,onboard 24 FXS voice interface on Slot 0 SubSlot 0,onboard 24 FXS voice interface,VG310,V01,FOC2638BPSY
WARLOVR003,1/9/2024 11:06:26 PM,10.158.51.13,PVDM3 DSP DIMM with 64 Channels on Slot 0 SubSlot 4,PVDM3 DSP DIMM with 64 Channels,PVDM3-64,V01,FOC26476SY0
WARLOVR003,1/9/2024 11:06:26 PM,10.158.51.13,VG3X0 AC Power Supply,VG3X0 AC Power Supply,PWR-VG3X0-AC,", SN:",
WARLOFW012-SEC,1/9/2024 11:06:34 PM,10.158.252.2,module 0,"Firepower 2110 Appliance, 1RU, 12 GE, 4 xSFP, 1 MGMT",FPR-2110,V05,FCZ2545R5C6
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,c93xx Stack,c93xx Stack,C9300-48UXM,V03,FOC2712Z2EV
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,Switch 1,C9300-48UXM,C9300-48UXM,V03,FOC2712Z2EV
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,StackPort1/1,StackPort1/1,STACK-T1-50CM,V01,LCC2712GPJ3
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,StackPort1/2,StackPort1/2,STACK-T1-50CM,V01,LCC2712GPH9
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,Switch 1 - Power Supply A,Switch 1 - Power Supply A,PWR-C1-1100WAC-P,V01,LIT2712C4ZG
WARLOAX3903,1/9/2024 11:06:40 PM,10.158.11.3,Switch 1 - Power Supply B,Switch 1 - Power Supply B,PWR-C1-1100WAC-P,V01,LIT2712C4CN
