Hostname,Datetime,IP,Name,Description,PID,VID,SN
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,1760 chassis,"1760 chassis, Hw Serial#: 2690386588, Hw Revision: 0x500",1760,0x500,FOC08362E0M (2690386588)
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Chassis Slot,1700 Chassis Slot,1700 Chassis Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,C1760 Mainboard,C1760 Mainboard,C1760 Mainboard,0x500,FOC08362E0M (2690386588)
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:0,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,WIC/VIC 0,2nd generation four port FXO voice interface daughtercard,2nd generation four port FXO voice interface daughtercard,4.1,1058131097
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/0,Foreign Exchange Office (FXO4-M1/M2/M3) 0/0,Foreign Exchange Office (FXO4-M1/M2/M3) 0/0,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/1,Foreign Exchange Office (FXO4-M1/M2/M3) 0/1,Foreign Exchange Office (FXO4-M1/M2/M3) 0/1,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/2,Foreign Exchange Office (FXO4-M1/M2/M3) 0/2,Foreign Exchange Office (FXO4-M1/M2/M3) 0/2,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 0/3,Foreign Exchange Office (FXO4-M1/M2/M3) 0/3,Foreign Exchange Office (FXO4-M1/M2/M3) 0/3,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,Daughter card slot:1,1700 DaughterCard Slot,1700 DaughterCard Slot,,
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,WIC/VIC 1,2nd generation four port FXO voice interface daughtercard,2nd generation four port FXO voice interface daughtercard,4.1,1486283825
WDCLOVR005,1/9/2024 11:08:17 PM,10.55.51.132,voice-port 1/0,Foreign Exchange Office (FXO4-M1/M2/M3) 1/0,Foreign Exchange Office (FXO4-M1/M2/M3) 1/0,,
