Hostname,Datetime,IP,Name,Description,PID,VID,SN
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FGL1940104C
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,Power Supply Module 1,250W AC Power Supply for Cisco ISR4430,PWR-4430-AC,V01,LIT19330AKK
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,Fan Tray,Cisco ISR4430 Fan Assembly,ACS-4430-FANASSY,,
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,module 0,Cisco ISR4431 Built-In NIM controller,ISR4431/K9,,
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4431-X-4x1GE,V01,
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,module R0,Cisco ISR4431 Route Processor,ISR4431/K9,V01,FOC19371H58
whcase-seoul-9101375,1/9/2024 11:06:05 PM,10.202.251.6,module F0,Cisco ISR4431 Forwarding Processor,ISR4431/K9,", SN:",
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,Chassis,Cisco ISR4451 Chassis,ISR4451-X/K9,V06,FGL20151034
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,Power Supply Module 0,"450W AC Power Supply for Cisco ISR4450, ISR4350",PWR-4450-AC,V02,DCA2003X33M
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,Power Supply Module 1,"450W AC Power Supply for Cisco ISR4450, ISR4350",PWR-4450-AC,V02,DCA2003X33L
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,Fan Tray,"Cisco ISR4450, ISR4350 Fan Assembly",ACS-4450-FANASSY,,
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,module 0,Cisco ISR4451 Built-In NIM controller,ISR4451-X/K9,,
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,NIM subslot 0/0,Front Panel 4 ports Gigabitethernet Module,ISR4451-X-4x1GE,V01,
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,module 1,Cisco ISR4451 Built-In SM controller,ISR4451-X/K9,,
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,module 2,Cisco ISR4451 Built-In SM controller,ISR4451-X/K9,,
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,module R0,Cisco ISR4451 Route Processor,ISR4451-X/K9,V06,FOC20092S3Q
whcase-berlindc1-11902175_CE1,1/9/2024 11:06:12 PM,10.22.186.12,module F0,Cisco ISR4451 Forwarding Processor,ISR4451-X/K9,", SN:",
whcase-flensburg-15690599,1/9/2024 11:06:18 PM,10.138.251.6,CISCO3945-CHASSIS,CISCO3945-CHASSIS,CISCO3945-CHASSIS,V02,FJC1951D01K
whcase-flensburg-15690599,1/9/2024 11:06:18 PM,10.138.251.6,Cisco Services Performance Engine 150 for Cisco 3900 ISR on Slot 0,Cisco Services Performance Engine 150 for Cisco 3900 ISR,C3900-SPE150/K9,V06,FOC19102A6M
whcase-flensburg-15690599,1/9/2024 11:06:18 PM,10.138.251.6,C3900 AC Power Supply 1,C3900 AC Power Supply 1,PWR-3900-AC,V05,SNI1924C8SB
whcase-flensburg-15690599,1/9/2024 11:06:18 PM,10.138.251.6,C3900 AC Power Supply 2,C3900 AC Power Supply 2,PWR-3900-AC,V03,SNI1729C8EL
whcase-hamburg-11669379_CE2,1/9/2024 11:06:29 PM,10.140.251.22,Chassis,Cisco ISR4431 Chassis,ISR4431/K9,V01,FGL201411HB
